file,vertical,client,name_on_portfolio_page,sheet_row,drive_file_id
cosmetic-clinics/est-clinic/est-clinic-ranks-on-ai-google-search-results-for-the-dry-skin-treatment-in-melbourne-keyword.webp,Cosmetic Clinics,EST Clinic,"EST Clinic Ranks on AI Google Search Results for the ""Dry Skin Treatment In Melbourne"" Keyword",26,1hWKuF9JylBa_rEV7_x60wJdi5kEceZzh
cosmetic-clinics/est-clinic/est-clinic-ranks-on-ai-google-search-results-for-the-eye-rejuvenation-melbourne-keyword.webp,Cosmetic Clinics,EST Clinic,"EST Clinic Ranks on AI Google Search Results for the ""Eye Rejuvenation Melbourne"" Keyword",27,1DoQpA1H3lfKeb7QKo9wOPzzuit95j1CH
cosmetic-clinics/est-clinic/est-clinic-ranks-on-ai-google-search-results-for-the-frown-line-removal-melbourne-keyword.webp,Cosmetic Clinics,EST Clinic,"EST Clinic Ranks on AI Google Search Results for the ""Frown Line Removal Melbourne"" Keyword",28,1TsekJN1V4BblBkjac48QX4xsT90-hJ2-
cosmetic-clinics/est-clinic/est-clinic-ranks-on-ai-google-search-results-for-the-uneven-skin-tone-treatment-keyword.webp,Cosmetic Clinics,EST Clinic,"EST Clinic Ranks on AI Google Search Results for the ""Uneven Skin Tone Treatment"" Keyword",29,11R9Vm0UHqIeQ3cLh3-KYWQjZP3dCTnDH
cosmetic-clinics/prophile-clinics/prophile-clinics-rank-on-ai-google-search-results-for-the-anti-aging-led-light-therapy-near-gol.webp,Cosmetic Clinics,Prophile Clinics,"Prophile Clinics Rank on AI Google Search Results for the ""Anti Aging Led Light Therapy Near Gold Coast"" Keyword",34,1yjLUmjL8vSdcEzQsIPRXckdi8JS80Zzd
cosmetic-clinics/prophile-clinics/prophile-clinics-rank-on-ai-google-search-results-for-the-collagen-stimulation-near-brisbane-ke.webp,Cosmetic Clinics,Prophile Clinics,"Prophile Clinics Rank on AI Google Search Results for the ""Collagen Stimulation Near Brisbane"" Keyword",35,16h1A5B5X4afa5UuJzQ7zx4N9cMKMHqOT
cosmetic-clinics/prophile-clinics/prophile-clinics-rank-on-ai-google-search-results-for-the-crows-feet-treatment-near-gold-coast.webp,Cosmetic Clinics,Prophile Clinics,"Prophile Clinics Rank on AI Google Search Results for the ""Crows Feet Treatment Near Gold Coast"" Keyword",36,10il31D1lqX7PcFFIl33CV2wUQjQkvbSJ
cosmetic-clinics/prophile-clinics/prophile-clinics-rank-on-ai-google-search-results-for-the-rf-microneedling-near-brisbane-keywor.webp,Cosmetic Clinics,Prophile Clinics,"Prophile Clinics Rank on AI Google Search Results for the ""RF Microneedling Near Brisbane"" Keyword",37,1afvU0CxlyV4Je2VqVQwFp8ynIhIqnM9v
cosmetic-clinics/prophile-clinics/prophile-clinics-rank-on-ai-google-search-results-for-the-thin-lips-treatment-near-brisbane-key.webp,Cosmetic Clinics,Prophile Clinics,"Prophile Clinics Rank on AI Google Search Results for the ""Thin Lips Treatment Near Brisbane"" Keyword",38,16A4ccCYU5QhS7sb_pxmg1MKjnPNxmrgP
cosmetic-clinics/queensland-skin-and-laser/queensland-skin-and-laser-ranks-on-ai-google-search-results-for-the-anti-wrinkle-treatment-near.webp,Cosmetic Clinics,Queensland Skin and Laser,"Queensland Skin and Laser Ranks on AI Google Search Results for the ""Anti Wrinkle Treatment Near Brisbane"" Keyword",39,1fKL_PyDkoDWlVG7fmQ-F1OnP_2fP14nn
cosmetic-clinics/queensland-skin-and-laser/queensland-skin-and-laser-ranks-on-ai-google-search-results-for-the-sagging-skin-treatment-near.webp,Cosmetic Clinics,Queensland Skin and Laser,"Queensland Skin and Laser Ranks on AI Google Search Results for the ""Sagging Skin Treatment Near Brisbane"" Keyword",40,16dm4SEqNemWmAU-pgi-1wqCoxHXaQQnN
eye-care-clinics/the-vision-surgeon/the-vision-surgeon-ranks-on-ai-search-results-for-hyperopia-treatment-colchester-keyword.webp,Eye Care Clinics,The Vision Surgeon,"The Vision Surgeon Ranks on AI Search Results for ""Hyperopia Treatment Colchester"" Keyword",66,1mXXxL1-oVqeiYyWnq49J7p2Dnhx7kSXF
eye-care-clinics/the-vision-surgeon/the-vision-surgeon-ranks-on-ai-search-results-for-laser-eye-surgery-colchester-keyword-2.webp,Eye Care Clinics,The Vision Surgeon,"The Vision Surgeon Ranks on AI Search Results for ""Laser Eye Surgery Colchester"" Keyword",64,1Yj6ecoJLu664MK0wKP9taB5tJVC51k1p
eye-care-clinics/the-vision-surgeon/the-vision-surgeon-ranks-on-ai-search-results-for-laser-eye-surgery-colchester-keyword.webp,Eye Care Clinics,The Vision Surgeon,"The Vision Surgeon Ranks on AI Search Results for ""Laser Eye Surgery Colchester"" Keyword",55,1UxeVTkOMzeJFGmBIOUlvwFVavJpLoZx-
eye-care-clinics/the-vision-surgeon/the-vision-surgeon-ranks-on-chatgpt-results-for-best-laser-surgeon-in-colchester-keyword.webp,Eye Care Clinics,The Vision Surgeon,"The Vision Surgeon Ranks on ChatGPT Results for ""Best Laser Surgeon in Colchester"" Keyword",67,1DsFPmQJE_vUNTbRFLL8GQkMgcd3DDEdK
eye-care-clinics/the-vision-surgeon/the-vision-surgeon-ranks-on-chatgpt-results-for-the-best-laser-refractive-surgery-clinic-in-col-2.webp,Eye Care Clinics,The Vision Surgeon,"The Vision Surgeon Ranks on ChatGPT Results for ""The Best Laser Refractive Surgery Clinic in Colchester"" Keyword",69,1uzBAXHWsvlxl8sTCiL7HgbiIMSEpQjXD
eye-care-clinics/the-vision-surgeon/the-vision-surgeon-ranks-on-chatgpt-results-for-the-best-laser-refractive-surgery-clinic-in-col.webp,Eye Care Clinics,The Vision Surgeon,"The Vision Surgeon Ranks on ChatGPT Results for ""The Best Laser Refractive Surgery Clinic in Colchester"" Keyword",68,1-Hgk2EJM5iUrRRlYUy4TSYqMHS2vDEix
hair-transplant-clinics/az-hair-restoration/az-hair-restoration-ranks-on-chatgpt-results-for-the-who-is-the-best-hair-transplant-surgeon-in.webp,Hair Transplant Clinics,AZ Hair Restoration,"AZ Hair Restoration Ranks on ChatGPT Results for the ""who is the best hair transplant surgeon in Raleigh NC Keyword",71,1Qtmj2k_cX08P3QRSEMuWWdHjyY-Tnwim
hair-transplant-clinics/fortes-clinic/fortes-clinic-ranking-on-chatgpt-for-best-doctor-led-hair-transplant-clinic-london.webp,Hair Transplant Clinics,Fortes Clinic,Fortes Clinic Ranking on ChatGPT for Best Doctor Led Hair Transplant Clinic London,91,1pV8gAEETfl91BQQiBb9WKbC0D1WAHybZ
hair-transplant-clinics/fortes-clinic/fortes-clinic-ranking-on-chatgpt-for-best-fue-hair-transplant-clinic-in-london.webp,Hair Transplant Clinics,Fortes Clinic,Fortes Clinic Ranking on ChatGPT for Best FUE Hair Transplant Clinic in London,90,1w6AHTDXVETshhB_clbQe78PldILxG65i
hair-transplant-clinics/fortes-clinic/fortes-clinic-ranking-on-chatgpt-for-industry-shortlist-for-top-3-hair-transplant-clinics.webp,Hair Transplant Clinics,Fortes Clinic,Fortes Clinic Ranking on ChatGPT for Industry Shortlist For Top 3 Hair Transplant Clinics,93,1vm9c74Yx_g7PGsvs4d39jh2IknQh48GU
hair-transplant-clinics/fortes-clinic/fortes-clinic-ranking-on-chatgpt-for-top-hair-transplant-clinics-in-london.webp,Hair Transplant Clinics,Fortes Clinic,Fortes Clinic Ranking on ChatGPT for Top Hair Transplant Clinics in London,92,1ts6ZZT4SpFKX9NO-MHw1z7qVpTV3riu8
hair-transplant-clinics/the-crown-clinic/crown-clinic-ranks-on-chatgpt-for-hair-transplant-surgery-clinics-in-sydney.webp,Hair Transplant Clinics,The Crown Clinic,Crown Clinic Ranks on ChatGPT for Hair Transplant Surgery Clinics In Sydney,48,1hBLiAu0_dicC3qPW_EPcFA2QMv9nlxiH
